,place_name,review,rating
0,토즈모임센터 종로점,커피가 맛있어요,
1,토즈모임센터 종로점,디저트가 맛있어요,
2,토즈모임센터 종로점,빵이 맛있어요,
3,토즈모임센터 종로점,친절해요,
4,토즈모임센터 종로점,인테리어가 멋져요,
5,토즈모임센터 종로점,매장이 청결해요,
6,토즈모임센터 종로점,뷰가 좋아요,
7,토즈모임센터 종로점,음료가 맛있어요,
8,토즈모임센터 종로점,사진이 잘 나와요,
9,토즈모임센터 종로점,특별한 메뉴가 있어요,
10,토즈모임센터 종로점,대화하기 좋아요,
11,토즈모임센터 종로점,가성비가 좋아요,
12,토즈모임센터 종로점,집중하기 좋아요,
13,토즈모임센터 종로점,화장실이 깨끗해요,
14,토즈모임센터 종로점,주차하기 편해요,
15,토즈모임센터 종로점,좌석이 편해요,
16,토즈모임센터 종로점,음식이 맛있어요,
17,토즈모임센터 종로점,매장이 넓어요,
18,토즈모임센터 종로점,단체모임 하기 좋아요,
19,토즈모임센터 종로점,특별한 날 가기 좋아요,
20,토즈모임센터 종로점,재료가 신선해요,
21,토즈모임센터 종로점,양이 많아요,
22,토즈모임센터 종로점,혼밥하기 좋아요,
23,카페노티드 안국,커피가 맛있어요,
24,카페노티드 안국,디저트가 맛있어요,3106
25,카페노티드 안국,빵이 맛있어요,
26,카페노티드 안국,친절해요,873
27,카페노티드 안국,인테리어가 멋져요,336
28,카페노티드 안국,매장이 청결해요,423
29,카페노티드 안국,뷰가 좋아요,
30,카페노티드 안국,음료가 맛있어요,
31,카페노티드 안국,사진이 잘 나와요,
32,카페노티드 안국,특별한 메뉴가 있어요,1012
33,카페노티드 안국,대화하기 좋아요,
34,카페노티드 안국,가성비가 좋아요,
35,카페노티드 안국,집중하기 좋아요,
36,카페노티드 안국,화장실이 깨끗해요,
37,카페노티드 안국,주차하기 편해요,
38,카페노티드 안국,좌석이 편해요,
39,카페노티드 안국,음식이 맛있어요,
40,카페노티드 안국,매장이 넓어요,
41,카페노티드 안국,단체모임 하기 좋아요,
42,카페노티드 안국,특별한 날 가기 좋아요,
43,카페노티드 안국,재료가 신선해요,
44,카페노티드 안국,양이 많아요,
45,카페노티드 안국,혼밥하기 좋아요,
46,어니언 안국점,커피가 맛있어요,1399
47,어니언 안국점,디저트가 맛있어요,2236
48,어니언 안국점,빵이 맛있어요,
49,어니언 안국점,친절해요,984
50,어니언 안국점,인테리어가 멋져요,1439
51,어니언 안국점,매장이 청결해요,
