,place_name,review,rating
0,블루보틀 성수 카페,커피가 맛있어요,2336.0
3,블루보틀 성수 카페,친절해요,968.0
4,블루보틀 성수 카페,인테리어가 멋져요,733.0
5,블루보틀 성수 카페,매장이 청결해요,692.0
7,블루보틀 성수 카페,음료가 맛있어요,805.0
92,대림창고,커피가 맛있어요,313.0
93,대림창고,디저트가 맛있어요,140.0
96,대림창고,인테리어가 멋져요,264.0
99,대림창고,음료가 맛있어요,100.0
100,대림창고,사진이 잘 나와요,90.0
115,센터커피 서울숲점,커피가 맛있어요,531.0
118,센터커피 서울숲점,친절해요,135.0
119,센터커피 서울숲점,인테리어가 멋져요,128.0
121,센터커피 서울숲점,뷰가 좋아요,237.0
122,센터커피 서울숲점,음료가 맛있어요,138.0
138,인더매스 마장,커피가 맛있어요,193.0
139,인더매스 마장,디저트가 맛있어요,108.0
142,인더매스 마장,인테리어가 멋져요,60.0
143,인더매스 마장,매장이 청결해요,54.0
145,인더매스 마장,음료가 맛있어요,69.0
161,옹근달,커피가 맛있어요,923.0
162,옹근달,디저트가 맛있어요,1265.0
165,옹근달,인테리어가 멋져요,557.0
168,옹근달,음료가 맛있어요,367.0
170,옹근달,특별한 메뉴가 있어요,354.0
184,멜로워 성수플래그쉽,커피가 맛있어요,524.0
185,멜로워 성수플래그쉽,디저트가 맛있어요,581.0
187,멜로워 성수플래그쉽,친절해요,275.0
188,멜로워 성수플래그쉽,인테리어가 멋져요,296.0
191,멜로워 성수플래그쉽,음료가 맛있어요,227.0
207,로우키,커피가 맛있어요,179.0
210,로우키,친절해요,64.0
211,로우키,인테리어가 멋져요,64.0
214,로우키,음료가 맛있어요,43.0
217,로우키,대화하기 좋아요,26.0
230,카페포제,커피가 맛있어요,89.0
231,카페포제,디저트가 맛있어요,32.0
234,카페포제,인테리어가 멋져요,50.0
235,카페포제,매장이 청결해요,33.0
237,카페포제,음료가 맛있어요,34.0
253,마를리,커피가 맛있어요,367.0
254,마를리,디저트가 맛있어요,453.0
257,마를리,인테리어가 멋져요,288.0
260,마를리,음료가 맛있어요,243.0
263,마를리,대화하기 좋아요,155.0
276,로우커피스탠드,커피가 맛있어요,281.0
