,review,place_name,rating
0,대화하기 좋아요,로우키,26.0
1,대화하기 좋아요,마를리,155.0
2,대화하기 좋아요,마크69,46.0
3,대화하기 좋아요,비엔나커피하우스 서울숲역점,39.0
4,대화하기 좋아요,카페오롯,32.0
5,대화하기 좋아요,하루&원데이,100.0
6,디저트가 맛있어요,5TO7,239.0
7,디저트가 맛있어요,갈십리,50.0
8,디저트가 맛있어요,글로우,192.0
9,디저트가 맛있어요,대림창고,140.0
10,디저트가 맛있어요,도렐 육지3호점,131.0
11,디저트가 맛있어요,마를리,453.0
12,디저트가 맛있어요,마크69,49.0
13,디저트가 맛있어요,멜로워 성수플래그쉽,581.0
14,디저트가 맛있어요,봉순이네다락방,56.0
15,디저트가 맛있어요,브라운팟,188.13953488372093
16,디저트가 맛있어요,비엔나커피하우스 서울숲역점,57.0
17,디저트가 맛있어요,서울앵무새,1674.0
18,디저트가 맛있어요,아우프글렛 금호점,87.0
19,디저트가 맛있어요,어라운드데이,101.0
20,디저트가 맛있어요,오우드,323.0
21,디저트가 맛있어요,옹근달,1265.0
22,디저트가 맛있어요,우디집,87.0
23,디저트가 맛있어요,인더매스 마장,108.0
24,디저트가 맛있어요,체다앤올리,110.0
25,디저트가 맛있어요,치카치카,86.0
26,디저트가 맛있어요,카멜 성수점,93.0
27,디저트가 맛있어요,카페 연무장,77.0
28,디저트가 맛있어요,카페노티드 성수,1978.0
29,디저트가 맛있어요,카페노티드 피치스,954.0
30,디저트가 맛있어요,카페오롯,32.0
31,디저트가 맛있어요,카페온화 성수점,42.0
32,디저트가 맛있어요,카페포제,32.0
33,디저트가 맛있어요,키커피컴퍼니 왕십리점,99.0
34,디저트가 맛있어요,플디 성수점,68.0
35,디저트가 맛있어요,훔볼트,250.7674418604651
36,매장이 청결해요,블루보틀 성수 카페,692.0
37,매장이 청결해요,아이오쓰리 성수사거리점,49.0
38,매장이 청결해요,업사이드커피 뚝섬점,26.0
39,매장이 청결해요,오우드,118.0
40,매장이 청결해요,인더매스 마장,54.0
41,매장이 청결해요,치카치카,15.0
42,매장이 청결해요,카페노티드 성수,334.0
43,매장이 청결해요,카페온화 성수점,23.0
44,매장이 청결해요,카페포제,33.0
45,매장이 청결해요,키커피컴퍼니 왕십리점,43.69767441860465
46,매장이 청결해요,하루&원데이,134.0
47,매장이 청결해요,훔볼트,71.0
48,뷰가 좋아요,맛차차,31.0
49,뷰가 좋아요,센터커피 서울숲점,237.0
50,뷰가 좋아요,체다앤올리,80.0
51,뷰가 좋아요,카페 연무장,98.0
52,빵이 맛있어요,하루노유키,98.0
53,사진이 잘 나와요,갈십리,19.0
54,사진이 잘 나와요,대림창고,90.0
55,사진이 잘 나와요,메쉬커피,6.0
56,사진이 잘 나와요,카멜 성수점,65.0
57,사진이 잘 나와요,카페 연무장,62.0
58,사진이 잘 나와요,카페노티드 피치스,244.0
59,음료가 맛있어요,5TO7,121.0
60,음료가 맛있어요,갈십리,39.0
61,음료가 맛있어요,글로우,71.0
62,음료가 맛있어요,대림창고,100.0
63,음료가 맛있어요,도렐 육지3호점,127.0
64,음료가 맛있어요,로우커피스탠드,77.0
65,음료가 맛있어요,로우키,43.0
66,음료가 맛있어요,마를리,243.0
67,음료가 맛있어요,마크69,52.7906976744186
68,음료가 맛있어요,맛차차,40.0
