,place_name,review,rating,0
0,블루보틀 성수 카페,커피가 맛있어요,2336.0,False
3,블루보틀 성수 카페,친절해요,968.0,False
4,블루보틀 성수 카페,인테리어가 멋져요,733.0,False
5,블루보틀 성수 카페,매장이 청결해요,692.0,False
7,블루보틀 성수 카페,음료가 맛있어요,805.0,False
92,대림창고,커피가 맛있어요,313.0,False
93,대림창고,디저트가 맛있어요,140.0,False
96,대림창고,인테리어가 멋져요,264.0,False
99,대림창고,음료가 맛있어요,100.0,False
100,대림창고,사진이 잘 나와요,90.0,False
115,센터커피 서울숲점,커피가 맛있어요,531.0,False
118,센터커피 서울숲점,친절해요,135.0,False
119,센터커피 서울숲점,인테리어가 멋져요,128.0,False
121,센터커피 서울숲점,뷰가 좋아요,237.0,False
122,센터커피 서울숲점,음료가 맛있어요,138.0,False
138,인더매스 마장,커피가 맛있어요,193.0,False
139,인더매스 마장,디저트가 맛있어요,108.0,False
142,인더매스 마장,인테리어가 멋져요,60.0,False
143,인더매스 마장,매장이 청결해요,54.0,False
145,인더매스 마장,음료가 맛있어요,69.0,False
161,옹근달,커피가 맛있어요,923.0,False
162,옹근달,디저트가 맛있어요,1265.0,False
165,옹근달,인테리어가 멋져요,557.0,False
168,옹근달,음료가 맛있어요,367.0,False
170,옹근달,특별한 메뉴가 있어요,354.0,False
184,멜로워 성수플래그쉽,커피가 맛있어요,524.0,False
185,멜로워 성수플래그쉽,디저트가 맛있어요,581.0,False
187,멜로워 성수플래그쉽,친절해요,275.0,False
188,멜로워 성수플래그쉽,인테리어가 멋져요,296.0,False
191,멜로워 성수플래그쉽,음료가 맛있어요,227.0,False
207,로우키,커피가 맛있어요,179.0,False
210,로우키,친절해요,64.0,False
211,로우키,인테리어가 멋져요,64.0,False
214,로우키,음료가 맛있어요,43.0,False
217,로우키,대화하기 좋아요,26.0,False
230,카페포제,커피가 맛있어요,89.0,False
231,카페포제,디저트가 맛있어요,32.0,False
234,카페포제,인테리어가 멋져요,50.0,False
235,카페포제,매장이 청결해요,33.0,False
237,카페포제,음료가 맛있어요,34.0,False
253,마를리,커피가 맛있어요,367.0,False
254,마를리,디저트가 맛있어요,453.0,False
257,마를리,인테리어가 멋져요,288.0,False
260,마를리,음료가 맛있어요,243.0,False
263,마를리,대화하기 좋아요,155.0,False
276,로우커피스탠드,커피가 맛있어요,281.0,False
279,로우커피스탠드,친절해요,75.0,False
280,로우커피스탠드,인테리어가 멋져요,18.0,False
283,로우커피스탠드,음료가 맛있어요,77.0,False
299,카페 연무장,커피가 맛있어요,111.0,False
300,카페 연무장,디저트가 맛있어요,77.0,False
303,카페 연무장,인테리어가 멋져요,93.0,False
305,카페 연무장,뷰가 좋아요,98.0,False
307,카페 연무장,사진이 잘 나와요,62.0,False
322,카멜 성수점,커피가 맛있어요,276.0,False
323,카멜 성수점,디저트가 맛있어요,93.0,False
326,카멜 성수점,인테리어가 멋져요,127.0,False
329,카멜 성수점,음료가 맛있어요,49.0,False
330,카멜 성수점,사진이 잘 나와요,65.0,False
345,체다앤올리,커피가 맛있어요,106.0,False
346,체다앤올리,디저트가 맛있어요,110.0,False
351,체다앤올리,뷰가 좋아요,80.0,False
352,체다앤올리,음료가 맛있어요,92.0,False
354,체다앤올리,특별한 메뉴가 있어요,99.0,False
368,도렐 육지3호점,커피가 맛있어요,308.0,False
369,도렐 육지3호점,디저트가 맛있어요,131.0,False
372,도렐 육지3호점,인테리어가 멋져요,108.0,False
375,도렐 육지3호점,음료가 맛있어요,127.0,False
377,도렐 육지3호점,특별한 메뉴가 있어요,101.0,False
391,우디집,커피가 맛있어요,97.0,False
392,우디집,디저트가 맛있어요,87.0,False
394,우디집,친절해요,62.0,False
395,우디집,인테리어가 멋져요,82.0,False
398,우디집,음료가 맛있어요,53.0,False
414,갈십리,커피가 맛있어요,75.0,False
415,갈십리,디저트가 맛있어요,50.0,False
418,갈십리,인테리어가 멋져요,55.0,False
421,갈십리,음료가 맛있어요,39.0,False
422,갈십리,사진이 잘 나와요,19.0,False
437,아우프글렛 금호점,커피가 맛있어요,77.0,False
438,아우프글렛 금호점,디저트가 맛있어요,87.0,False
440,아우프글렛 금호점,친절해요,30.0,False
441,아우프글렛 금호점,인테리어가 멋져요,38.0,False
446,아우프글렛 금호점,특별한 메뉴가 있어요,26.0,False
460,글로우,커피가 맛있어요,191.0,False
461,글로우,디저트가 맛있어요,192.0,False
463,글로우,친절해요,68.0,False
464,글로우,인테리어가 멋져요,50.0,False
467,글로우,음료가 맛있어요,71.0,False
483,슈퍼말차 성수,커피가 맛있어요,146.0,False
486,슈퍼말차 성수,친절해요,126.0,False
487,슈퍼말차 성수,인테리어가 멋져요,129.0,False
490,슈퍼말차 성수,음료가 맛있어요,384.0,False
492,슈퍼말차 성수,특별한 메뉴가 있어요,161.0,False
507,치카치카,디저트가 맛있어요,86.0,False
509,치카치카,친절해요,31.0,False
510,치카치카,인테리어가 멋져요,9.0,False
511,치카치카,매장이 청결해요,15.0,False
515,치카치카,특별한 메뉴가 있어요,38.0,False
529,5TO7,커피가 맛있어요,231.0,False
530,5TO7,디저트가 맛있어요,239.0,False
532,5TO7,친절해요,78.0,False
533,5TO7,인테리어가 멋져요,114.0,False
536,5TO7,음료가 맛있어요,121.0,False
552,서울앵무새,커피가 맛있어요,529.0,False
553,서울앵무새,디저트가 맛있어요,1674.0,False
555,서울앵무새,친절해요,441.0,False
556,서울앵무새,인테리어가 멋져요,514.0,False
561,서울앵무새,특별한 메뉴가 있어요,729.0,False
578,하루&원데이,친절해요,196.0,False
580,하루&원데이,매장이 청결해요,134.0,False
584,하루&원데이,특별한 메뉴가 있어요,162.0,False
585,하루&원데이,대화하기 좋아요,100.0,False
598,봉순이네다락방,커피가 맛있어요,58.0,False
599,봉순이네다락방,디저트가 맛있어요,56.0,False
601,봉순이네다락방,친절해요,35.0,False
602,봉순이네다락방,인테리어가 멋져요,59.0,False
605,봉순이네다락방,음료가 맛있어요,35.0,False
621,메쉬커피,커피가 맛있어요,52.0,False
624,메쉬커피,친절해요,16.0,False
628,메쉬커피,음료가 맛있어요,10.0,False
629,메쉬커피,사진이 잘 나와요,6.0,False
630,메쉬커피,특별한 메뉴가 있어요,10.0,False
644,카페오롯,커피가 맛있어요,68.0,False
645,카페오롯,디저트가 맛있어요,32.0,False
648,카페오롯,인테리어가 멋져요,40.0,False
651,카페오롯,음료가 맛있어요,30.0,False
654,카페오롯,대화하기 좋아요,32.0,False
667,어라운드데이,커피가 맛있어요,95.0,False
668,어라운드데이,디저트가 맛있어요,101.0,False
670,어라운드데이,친절해요,56.0,False
671,어라운드데이,인테리어가 멋져요,43.0,False
674,어라운드데이,음료가 맛있어요,60.0,False
690,훔볼트,커피가 맛있어요,238.0,False
691,훔볼트,디저트가 맛있어요,250.0,False
694,훔볼트,인테리어가 멋져요,126.0,False
695,훔볼트,매장이 청결해요,71.0,False
697,훔볼트,음료가 맛있어요,91.0,False
713,업사이드커피 뚝섬점,커피가 맛있어요,117.0,False
716,업사이드커피 뚝섬점,친절해요,53.0,False
