,place_name,review,rating
0,블루보틀 성수 카페,커피가 맛있어요,2336
1,블루보틀 성수 카페,디저트가 맛있어요,
2,블루보틀 성수 카페,빵이 맛있어요,
3,블루보틀 성수 카페,친절해요,968
4,블루보틀 성수 카페,인테리어가 멋져요,733
5,블루보틀 성수 카페,매장이 청결해요,692
6,블루보틀 성수 카페,뷰가 좋아요,
7,블루보틀 성수 카페,음료가 맛있어요,805
8,블루보틀 성수 카페,사진이 잘 나와요,
9,블루보틀 성수 카페,특별한 메뉴가 있어요,
10,블루보틀 성수 카페,대화하기 좋아요,
11,블루보틀 성수 카페,가성비가 좋아요,
12,블루보틀 성수 카페,집중하기 좋아요,
13,블루보틀 성수 카페,화장실이 깨끗해요,
14,블루보틀 성수 카페,주차하기 편해요,
15,블루보틀 성수 카페,좌석이 편해요,
16,블루보틀 성수 카페,음식이 맛있어요,
17,블루보틀 성수 카페,매장이 넓어요,
18,블루보틀 성수 카페,단체모임 하기 좋아요,
19,블루보틀 성수 카페,특별한 날 가기 좋아요,
20,블루보틀 성수 카페,재료가 신선해요,
21,블루보틀 성수 카페,양이 많아요,
22,블루보틀 성수 카페,혼밥하기 좋아요,
23,할아버지공장,커피가 맛있어요,
24,할아버지공장,디저트가 맛있어요,
25,할아버지공장,빵이 맛있어요,
26,할아버지공장,친절해요,
27,할아버지공장,인테리어가 멋져요,
28,할아버지공장,매장이 청결해요,
29,할아버지공장,뷰가 좋아요,
30,할아버지공장,음료가 맛있어요,
31,할아버지공장,사진이 잘 나와요,
32,할아버지공장,특별한 메뉴가 있어요,
33,할아버지공장,대화하기 좋아요,
34,할아버지공장,가성비가 좋아요,
35,할아버지공장,집중하기 좋아요,
36,할아버지공장,화장실이 깨끗해요,
37,할아버지공장,주차하기 편해요,
38,할아버지공장,좌석이 편해요,
39,할아버지공장,음식이 맛있어요,
40,할아버지공장,매장이 넓어요,
41,할아버지공장,단체모임 하기 좋아요,
42,할아버지공장,특별한 날 가기 좋아요,
43,할아버지공장,재료가 신선해요,
44,할아버지공장,양이 많아요,
45,할아버지공장,혼밥하기 좋아요,
46,쎈느,커피가 맛있어요,
47,쎈느,디저트가 맛있어요,
48,쎈느,빵이 맛있어요,
49,쎈느,친절해요,
50,쎈느,인테리어가 멋져요,
51,쎈느,매장이 청결해요,
52,쎈느,뷰가 좋아요,
53,쎈느,음료가 맛있어요,
54,쎈느,사진이 잘 나와요,
55,쎈느,특별한 메뉴가 있어요,
56,쎈느,대화하기 좋아요,
57,쎈느,가성비가 좋아요,
58,쎈느,집중하기 좋아요,
59,쎈느,화장실이 깨끗해요,
60,쎈느,주차하기 편해요,
61,쎈느,좌석이 편해요,
62,쎈느,음식이 맛있어요,
63,쎈느,매장이 넓어요,
64,쎈느,단체모임 하기 좋아요,
65,쎈느,특별한 날 가기 좋아요,
66,쎈느,재료가 신선해요,
67,쎈느,양이 많아요,
68,쎈느,혼밥하기 좋아요,
69,어니언컴퍼니,커피가 맛있어요,
70,어니언컴퍼니,디저트가 맛있어요,
71,어니언컴퍼니,빵이 맛있어요,
72,어니언컴퍼니,친절해요,
73,어니언컴퍼니,인테리어가 멋져요,
74,어니언컴퍼니,매장이 청결해요,
75,어니언컴퍼니,뷰가 좋아요,
76,어니언컴퍼니,음료가 맛있어요,
