,id,place_name,address_name,phone,커피가 맛있어요,디저트가 맛있어요,빵이 맛있어요,친절해요,인테리어가 멋져요,매장이 청결해요,뷰가 좋아요,음료가 맛있어요,사진이 잘 나와요,특별한 메뉴가 있어요,대화하기 좋아요,가성비가 좋아요,집중하기 좋아요,화장실이 깨끗해요,주차하기 편해요,좌석이 편해요,음식이 맛있어요,매장이 넓어요,단체모임 하기 좋아요,특별한 날 가기 좋아요,재료가 신선해요,양이 많아요,혼밥하기 좋아요,naver_map_type,blog_review_qty_list,stars,stars_qty,visitor_review_qty
0,1492599844,블루보틀 성수 카페,서울 성동구 성수동1가 656-302,1533-6906,2336,,,968,733,692,,805,,,,,,,,,,,,,,,,블루보틀,"3,525",4.4,"12,644개 평점 12,893명 참여","3,607"
1,1301973155,할아버지공장,서울 성동구 성수동2가 309-133,010-3934-2301,,,,,,,,,,,,,,,,,,,,,,,,원목가구,6,null,null,9
2,1783691580,쎈느,서울 성동구 성수동2가 314-2,02-469-2122,,,,,,,,,,,,,,,,,,,,,,,,의류제작,3,null,null,9
3,145791269,어니언컴퍼니,서울 성동구 성수동2가 277-135,02-1644-1941,,,,,,,,,,,,,,,,,,,,,,,,기업,null,null,null,9
4,1128989913,대림창고,서울 성동구 성수동2가 322-32,02-499-9669,313,140,,,264,,,100,90,,,,,,,,,,,,,,,"카페,디저트","2,259",4.38,"572개 평점 1,258명 참여",574
5,286483883,센터커피 서울숲점,서울 성동구 성수동1가 685-478,070-8868-2008,531,,,135,128,,237,138,,,,,,,,,,,,,,,,카페,"1,007",4.41,"1,323개 평점 1,675명 참여",800
6,1460620031,인더매스 마장,서울 성동구 마장동 776-1,,193,108,,,60,54,,69,,,,,,,,,,,,,,,,"카페,디저트",868,4.41,711개 평점 706명 참여,255
7,547570065,옹근달,서울 성동구 성수동2가 333-52,02-499-5012,923,1265,,,557,,,367,,354,,,,,,,,,,,,,,"카페,디저트","1,082",4.35,"2,076개 평점 3,364명 참여","2,173"
8,1842536906,멜로워 성수플래그쉽,서울 성동구 성수동2가 333-94,02-499-1112,524,581,,275,296,,,227,,,,,,,,,,,,,,,,"카페,디저트","1,390",4.5,"1,386개 평점 1,800명 참여","1,023"
9,1302549042,로우키,서울 성동구 성수동2가 302-16,,179,,,64,64,,,43,,,26,,,,,,,,,,,,,"카페,디저트",663,4.6,426개 평점 474명 참여,204
10,1942841428,카페포제,서울 성동구 성수동2가 315-41,070-8830-5994,89,32,,,50,33,,34,,,,,,,,,,,,,,,,"카페,디저트",781,4.34,394개 평점 440명 참여,155
11,1038283810,마를리,서울 성동구 성수동2가 315-55,02-467-0303,367,453,,,288,,,243,,,155,,,,,,,,,,,,,케이크전문,"1,469",null,null,936
12,940053669,로우커피스탠드,서울 성동구 성수동1가 8-16,,281,,,75,18,,,77,,,,146,,,,,,,,,,,,카페,537,4.44,607개 평점 587명 참여,270
13,144753549,카페 연무장,서울 성동구 성수동2가 310-63,,111,77,,,93,,98,,62,,,,,,,,,,,,,,,"카페,디저트",927,null,null,261
