,place_name,review,rating
0,카페노티드 안국,커피가 맛있어요,
1,카페노티드 안국,디저트가 맛있어요,3151
2,카페노티드 안국,빵이 맛있어요,
3,카페노티드 안국,친절해요,884
4,카페노티드 안국,인테리어가 멋져요,348
5,카페노티드 안국,매장이 청결해요,434
6,카페노티드 안국,뷰가 좋아요,
7,카페노티드 안국,음료가 맛있어요,
8,카페노티드 안국,사진이 잘 나와요,
9,카페노티드 안국,특별한 메뉴가 있어요,1029
10,카페노티드 안국,대화하기 좋아요,
11,카페노티드 안국,가성비가 좋아요,
12,카페노티드 안국,집중하기 좋아요,
13,카페노티드 안국,화장실이 깨끗해요,
14,카페노티드 안국,주차하기 편해요,
15,카페노티드 안국,좌석이 편해요,
16,카페노티드 안국,음식이 맛있어요,
17,카페노티드 안국,매장이 넓어요,
18,카페노티드 안국,단체모임 하기 좋아요,
19,카페노티드 안국,특별한 날 가기 좋아요,
20,카페노티드 안국,재료가 신선해요,
21,카페노티드 안국,양이 많아요,
22,카페노티드 안국,혼밥하기 좋아요,
23,토즈모임센터 종로점,커피가 맛있어요,
24,토즈모임센터 종로점,디저트가 맛있어요,
25,토즈모임센터 종로점,빵이 맛있어요,
26,토즈모임센터 종로점,친절해요,
27,토즈모임센터 종로점,인테리어가 멋져요,
28,토즈모임센터 종로점,매장이 청결해요,
29,토즈모임센터 종로점,뷰가 좋아요,
30,토즈모임센터 종로점,음료가 맛있어요,
31,토즈모임센터 종로점,사진이 잘 나와요,
32,토즈모임센터 종로점,특별한 메뉴가 있어요,
33,토즈모임센터 종로점,대화하기 좋아요,
34,토즈모임센터 종로점,가성비가 좋아요,
35,토즈모임센터 종로점,집중하기 좋아요,
36,토즈모임센터 종로점,화장실이 깨끗해요,
37,토즈모임센터 종로점,주차하기 편해요,
38,토즈모임센터 종로점,좌석이 편해요,
39,토즈모임센터 종로점,음식이 맛있어요,
40,토즈모임센터 종로점,매장이 넓어요,
41,토즈모임센터 종로점,단체모임 하기 좋아요,
42,토즈모임센터 종로점,특별한 날 가기 좋아요,
43,토즈모임센터 종로점,재료가 신선해요,
44,토즈모임센터 종로점,양이 많아요,
45,토즈모임센터 종로점,혼밥하기 좋아요,
46,어니언 안국점,커피가 맛있어요,1408
47,어니언 안국점,디저트가 맛있어요,2252
48,어니언 안국점,빵이 맛있어요,
49,어니언 안국점,친절해요,996
50,어니언 안국점,인테리어가 멋져요,1450
51,어니언 안국점,매장이 청결해요,
52,어니언 안국점,뷰가 좋아요,
53,어니언 안국점,음료가 맛있어요,
54,어니언 안국점,사진이 잘 나와요,676
55,어니언 안국점,특별한 메뉴가 있어요,
56,어니언 안국점,대화하기 좋아요,
57,어니언 안국점,가성비가 좋아요,
58,어니언 안국점,집중하기 좋아요,
59,어니언 안국점,화장실이 깨끗해요,
60,어니언 안국점,주차하기 편해요,
61,어니언 안국점,좌석이 편해요,
62,어니언 안국점,음식이 맛있어요,
63,어니언 안국점,매장이 넓어요,
64,어니언 안국점,단체모임 하기 좋아요,
65,어니언 안국점,특별한 날 가기 좋아요,
66,어니언 안국점,재료가 신선해요,
67,어니언 안국점,양이 많아요,
68,어니언 안국점,혼밥하기 좋아요,
69,블루보틀 삼청 카페,커피가 맛있어요,1333
70,블루보틀 삼청 카페,디저트가 맛있어요,
71,블루보틀 삼청 카페,빵이 맛있어요,
72,블루보틀 삼청 카페,친절해요,547
73,블루보틀 삼청 카페,인테리어가 멋져요,436
74,블루보틀 삼청 카페,매장이 청결해요,434
75,블루보틀 삼청 카페,뷰가 좋아요,441
