,id,place_name,address_name,phone,커피가 맛있어요,디저트가 맛있어요,빵이 맛있어요,친절해요,인테리어가 멋져요,매장이 청결해요,뷰가 좋아요,음료가 맛있어요,사진이 잘 나와요,특별한 메뉴가 있어요,대화하기 좋아요,가성비가 좋아요,집중하기 좋아요,화장실이 깨끗해요,주차하기 편해요,좌석이 편해요,음식이 맛있어요,매장이 넓어요,단체모임 하기 좋아요,특별한 날 가기 좋아요,재료가 신선해요,양이 많아요,혼밥하기 좋아요,naver_map_type,blog_review_qty_list,stars,stars_qty,visitor_review_qty
0,1974266862,카페노티드 안국,서울 종로구 재동 86,0507-1337-9973,,3151,,884,348,434,,,,1029,,,,,,,,,,,,,,카페,"3,010",4.44,"4,894개 평점 6,027명 참여","3,929"
1,8574728,토즈모임센터 종로점,서울 종로구 종로2가 84-8,02-736-0061,,,,,,,,,,,,,,,,,,,,,,,,장소대여,33,4.33,108개 평점 102명 참여,9
2,853028118,어니언 안국점,서울 종로구 계동 146-1,070-7543-2123,1408,2252,,996,1450,,,,676,,,,,,,,,,,,,,,"카페,디저트","3,553",4.43,"4,053개 평점 5,691명 참여","3,671"
3,353512935,블루보틀 삼청 카페,서울 종로구 소격동 86,1533-6906,1333,,,547,436,434,441,,,,,,,,,,,,,,,,,블루보틀,"1,852",4.44,"1,347개 평점 2,282명 참여","2,092"
4,1779571274,안녕인사동,서울 종로구 관훈동 155-2,02-6954-2910,,,,,,,,,,,,,,,,,,,,,,,,복합문화공간,"2,530",4.35,311개 평점 422명 참여,9
5,1508329235,스태픽스,서울 종로구 필운동 32-1,0507-1341-2055,234,174,,,151,,336,,154,,,,,,,,,,,,,,,"카페,디저트","1,911",4.31,"740개 평점 1,057명 참여",617
6,1429224581,아키비스트,서울 종로구 효자동 164-7,02-738-1517,1634,438,,,363,,,508,,381,,,,,,,,,,,,,,카페,"1,811",4.5,"1,459개 평점 2,479명 참여","2,087"
7,7912367,산모퉁이,서울 종로구 부암동 97-5,02-391-4737,149,,,,76,,335,,122,,55,,,,,,,,,,,,,카페,"1,844",4.17,"1,164개 평점 1,391명 참여",499
8,27187492,포비 광화문점,서울 종로구 청진동 246,02-2251-8125,793,,1599,518,,267,,,,340,,,,,,,,,,,,,,베이글,"1,919",4.53,"3,328개 평점 3,860명 참여","1,874"
9,8082652,차마시는 뜰,서울 종로구 삼청동 35-169,02-722-7006,,,,221,165,,193,,115,,,,,,,,,,,,,,,차,837,4.53,530개 평점 817명 참여,531
10,24725284,테라로사 광화문점,서울 종로구 중학동 19,,514,123,,,192,123,,136,,,,,,,,,,,,,,,,카페,614,4.42,"1,875개 평점 1,735명 참여",685
11,826692169,카페 레이어드 안국점,서울 종로구 재동 84-14,,253,,878,261,238,,,,,273,,,,,,,,,,,,,,베이커리,"3,568",4.39,"1,645개 평점 2,164명 참여","1,140"
12,1154772851,프릳츠 원서점,서울 종로구 원서동 221-1,02-747-8101,739,478,,,306,,184,194,,,,,,,,,,,,,,,,카페,"1,607",4.42,"2,360개 평점 2,810명 참여","1,127"
13,11016313,나무사이로,서울 종로구 내자동 196,070-7590-0885,106,,,31,36,,,22,,,24,,,,,,,,,,,,,"카페,디저트",727,4.39,564개 평점 564명 참여,133
14,281666038,포비브라이트 광화문점,서울 종로구 신문로1가 115,02-6744-0120,265,,257,83,74,,72,,,,,,,,,,,,,,,,,베이커리,581,4.56,929개 평점 971명 참여,415
15,890843625,개뿔,서울 종로구 이화동 9-443,02-765-2019,3,,,4,4,,,,6,,,,,,,2,,,,,,,,갤러리카페,599,4.45,413개 평점 474명 참여,20
16,967168196,H라운지,서울 종로구 통의동 35-21,02-722-0028,,,,177,338,,,,,,,,,,,,476,331,182,,,,,브런치,779,4.36,"956개 평점 1,245명 참여",758
17,78911659,청수당,서울 종로구 익선동 144,0507-1318-8215,249,288,,,308,,,200,184,,,,,,,,,,,,,,,"카페,디저트","2,151",4.39,"1,344개 평점 1,750명 참여",721
18,27411968,토즈모임센터 광화문점,서울 종로구 신문로1가 25,02-735-0022,,,,,,,,,,,,,,,,,,,,,,,,장소대여,33,4.33,108개 평점 102명 참여,9
19,20459372,부빙,서울 종로구 부암동 254-2,02-394-8288,31,233,,57,,42,,,,159,,,,,,,,,,,,,,빙수,686,4.45,528개 평점 711명 참여,323
20,468528939,카페키이로,서울 종로구 명륜4가 154-2,02-747-0848,90,216,,104,,,,67,,95,,,,,,,,,,,,,,"카페,디저트",648,4.55,296개 평점 382명 참여,221
21,320882660,도트블랭킷,서울 종로구 안국동 83,0507-1431-2226,,,,150,131,111,,,,,,,,,,,461,,,,241,,,브런치,840,4.54,641개 평점 956명 참여,605
22,7941905,서울서 둘째로잘하는집,서울 종로구 삼청동 28-21,02-734-5302,,186,,262,,,,88,,400,,,,,,,,,,,,,,차,882,4.43,"1,024개 평점 1,366명 참여",786
23,2084457534,카페 하이웨스트 익선점,서울 종로구 돈의동 13,,150,312,,,157,,,75,,77,,,,,,,,,,,,,,"카페,디저트","1,822",4.34,"933개 평점 1,131명 참여",447
24,1882706147,대충유원지 인왕산,서울 종로구 누하동 22,,47,,,,34,,49,25,21,,,,,,,,,,,,,,,"카페,디저트",706,4.39,328개 평점 371명 참여,105
25,17382138,라카페갤러리,서울 종로구 통의동 10,02-379-1975,7,,,7,7,4,,,,,4,,,,,,,,,,,,,갤러리카페,"1,003",4.38,257개 평점 303명 참여,16
26,27278291,슬로우파크,서울 종로구 삼청동 15-2,02-739-8797,,,,123,142,,,,,,,,,,,,298,88,,,60,,,이탈리아음식,509,null,null,380
27,594338477,가배도 삼청점,서울 종로구 소격동 142-2,02-732-4542,411,287,,,320,,,218,,,175,,,,,,,,,,,,,카페,752,4.4,"969개 평점 1,374명 참여",920
28,10405822,반쥴,서울 종로구 관철동 12-16,02-735-5437,68,,,36,55,,,29,,,30,,,,,,,,,,,,,카페,497,4.42,244개 평점 288명 참여,122
29,8045991,카페이마,서울 종로구 세종로 139-8,02-2020-2088,191,216,,,123,169,,,,249,,,,,,,,,,,,,,카페,978,4.37,"2,556개 평점 2,559명 참여",587
30,212413668,내자상회,서울 종로구 내자동 142,070-7755-0142,133,101,,60,72,,,73,,,,,,,,,,,,,,,,"카페,디저트",785,4.51,390개 평점 524명 참여,244
31,1182434312,제이히든하우스,서울 종로구 종로6가 94,02-744-1915,222,125,,,243,,,117,113,,,,,,,,,,,,,,,"카페,디저트",589,4.39,716개 평점 942명 참여,515
32,1154343797,한옥찻집,서울 종로구 관훈동 64,,210,196,,210,366,,,338,,,,,,,,,,,,,,,,"카페,디저트",388,4.34,"603개 평점 1,122명 참여",867
33,971978748,로코랩,서울 종로구 수송동 46-13,02-3210-3258,89,48,,,71,,,54,,,45,,,,,,,,,,,,,"카페,디저트",341,4.49,449개 평점 437명 참여,146
34,517442171,결,서울 종로구 공평동 17,02-6370-5840,196,78,,73,73,64,,,,,,,,,,,,,,,,,,"카페,디저트",359,4.43,414개 평점 486명 참여,225
35,15815825,mk2,서울 종로구 창성동 122-2,,128,93,,,73,,,78,,,42,,,,,,,,,,,,,카페,834,4.3,517개 평점 633명 참여,293
36,630916358,동백양과점 익선점,서울 종로구 익선동 166-73,02-3144-0429,103,198,,,92,,,69,,77,,,,,,,,,,,,,,"카페,디저트","1,332",4.17,678개 평점 857명 참여,344
37,9544927,클럽에스프레소,서울 종로구 부암동 257-1,02-764-8719,658,,,121,147,,115,152,,,,,,,,,,,,,,,,카페,785,4.37,"1,132개 평점 1,530명 참여",800
38,1041123432,애즈라이크,서울 종로구 통의동 7-33,02-722-9994,,,,179,150,144,,,,,,,,,,,506,,,,251,,,브런치,863,4.5,"740개 평점 1,066명 참여",676
39,1711700322,밀크홀1937 종로점,서울 종로구 종로2가 71-5,070-8801-1937,119,78,,61,,67,,112,,,,,,,,,,,,,,,,"카페,디저트",525,4.32,843개 평점 921명 참여,327
40,1742096339,카페온화 익선점,서울 종로구 익선동 166-39,,330,533,,,249,168,,,,163,,,,,,,,,,,,,,카페,698,4.24,"1,176개 평점 1,702명 참여",912
41,855621421,호텔세느장,서울 종로구 낙원동 122,02-766-8211,150,88,,,168,,,71,86,,,,,,,,,,,,,,,"카페,디저트",920,4.24,460개 평점 653명 참여,359
42,26964717,코피티암커피 경복궁점,서울 종로구 통의동 35-29,070-7670-8837,456,241,,,190,,,229,,,207,,,,,,,,,,,,,카페,731,4.38,"1,221개 평점 1,622명 참여",942
43,8105618,커피스트,서울 종로구 신문로2가 1-335,02-725-5557,106,,,36,22,21,,,,,26,,,,,,,,,,,,,카페,560,4.44,285개 평점 328명 참여,129
44,1709558766,호랑이,서울 중구 산림동 207-2,02-2269-5880,907,,,,176,,,256,,174,,145,,,,,,,,,,,,카페,"2,671",4.42,"1,136개 평점 1,744명 참여","1,141"
45,87323834,더스팟 패뷸러스,서울 중구 명동2가 105,02-779-1981,408,574,,,469,,,194,194,,,,,,,,,,,,,,,"카페,디저트","2,369",4.56,"1,550개 평점 2,071명 참여","1,029"
46,243733683,덕수궁 리에제와플,서울 중구 태평로2가 365,02-318-5202,305,2063,,476,,,,196,,629,,,,,,,,,,,,,,와플,"2,506",4.44,"6,557개 평점 7,395명 참여","2,558"
47,1198183678,커피앤시가렛,서울 중구 서소문동 75-95,02-777-7557,174,,,,98,,293,77,100,,,,,,,,,,,,,,,카페,"1,904",4.42,"1,273개 평점 1,269명 참여",387
48,253560122,커피루소 정동점,서울 중구 정동 17-4,02-772-9935,985,403,,,291,,247,253,,,,,,,,,,,,,,,,"카페,디저트",689,4.43,"1,727개 평점 2,135명 참여","1,306"
49,1769574951,더하우스1932,서울 중구 만리동1가 62-16,02-365-1932,340,192,,,244,,,128,,,150,,,,,,,,,,,,,"카페,디저트",582,4.44,"973개 평점 1,208명 참여",656
50,1440347564,커피한약방,서울 중구 을지로2가 101-34,070-4148-4242,703,170,,,455,,,189,180,,,,,,,,,,,,,,,카페,"2,453",4.42,"2,216개 평점 2,506명 참여","1,013"
51,1345866783,적당,서울 중구 을지로1가 87,070-7543-8928,320,490,,,451,,,227,,308,,,,,,,,,,,,,,"카페,디저트","1,048",4.45,"728개 평점 1,203명 참여",932
52,1982412866,챔프커피 제3작업실,서울 중구 을지로4가 9-6,010-8943-4516,285,64,,65,,,,66,,42,,,,,,,,,,,,,,"카페,디저트",970,4.47,705개 평점 851명 참여,357
53,1873478634,리사르커피로스터스 약수점,서울 중구 신당동 366-32,070-7677-5538,191,,,59,,,,36,,72,,72,,,,,,,,,,,,"카페,디저트","1,220",4.62,221개 평점 301명 참여,202
54,1039797847,섬광,서울 중구 충무로4가 32-16,070-8866-8485,55,82,,,74,,,78,,89,,,,,,,,,,,,,,"카페,디저트","1,058",4.37,552개 평점 606명 참여,221
55,17187804,르풀,서울 중구 정동 1-28,02-3789-0400,109,111,,74,85,,,,,141,,,,,,,,,,,,,,카페,"1,020",4.36,"872개 평점 1,059명 참여",408
56,1965342185,커피스니퍼,서울 중구 북창동 11-3,02-3789-1781,556,102,,,194,,,154,,122,,,,,,,,,,,,,,"카페,디저트",588,4.49,"1,396개 평점 1,391명 참여",660
57,375097954,카페피크닉,서울 중구 남창동 194,070-8821-6374,83,,,,93,,42,36,39,,,,,,,,,,,,,,,"카페,디저트",906,null,null,210
58,875047420,홍만당 명동본점,서울 중구 명동2가 32-8,02-777-4422,,228,,73,,17,,,,95,,15,,,,,,,,,,,,"카페,디저트",773,4.59,"2,031개 평점 1,586명 참여",291
59,1651034737,라운드앤드,서울 중구 정동 11-3,,507,,881,291,,216,,172,,,,,,,,,,,,,,,,베이커리,892,4.42,"1,382개 평점 1,601명 참여","1,042"
60,346424300,혜민당,서울 중구 을지로2가 101-37,070-8833-4242,179,470,,,266,,,,110,131,,,,,,,,,,,,,,"카페,디저트",523,4.44,522개 평점 883명 참여,700
61,38432219,러시아 케이크,서울 중구 광희동1가 134,02-6053-4079,,73,,30,,16,,,,35,,,,,,,,,,,,,,케이크전문,35,4.7,41개 평점 76명 참여,77
62,1773363624,마뫼,서울 중구 회현동1가 산 1-20,,48,,,20,23,,52,24,,,,,,,,,,,,,,,,"카페,디저트",575,4.23,110개 평점 167명 참여,106
63,1168606226,더피터커피,서울 중구 흥인동 63,,407,483,,194,188,124,,,,,,,,,,,,,,,,,,카페,772,4.43,"914개 평점 1,143명 참여",736
64,831681203,죠지서울,서울 중구 을지로3가 334-7,070-8810-2693,,70,,,45,,,40,37,51,,,,,,,,,,,,,,"카페,디저트",734,4.35,284개 평점 333명 참여,124
65,1254228746,수잔나의앞치마,서울 중구 충무로5가 36-12,,655,1024,,,694,322,,351,,,,,,,,,,,,,,,,"카페,디저트","1,145",4.61,"1,480개 평점 1,949명 참여","1,347"
66,8101536,코인 명동점,서울 중구 명동2가 54-20,02-753-1667,109,71,,42,62,,,,,,40,,,,,,,,,,,,,"카페,디저트",285,4.38,265개 평점 451명 참여,199
67,1879590476,심세정,서울 중구 흥인동 88,070-8823-7577,159,,297,56,66,,,54,,,,,,,,,,,,,,,,베이커리,762,4.33,574개 평점 776명 참여,419
68,252792288,카페 아포테케리,서울 중구 흥인동 89,02-2236-8987,118,58,,,57,35,,50,,,,,,,,,,,,,,,,카페,669,4.44,347개 평점 447명 참여,223
69,557230756,바캉스커피,서울 중구 다동 117,070-8803-2326,119,,,58,94,60,86,,,,,,,,,,,,,,,,,"카페,디저트",769,4.34,"945개 평점 1,052명 참여",291
