,Unnamed: 0,id,place_name,address_name,road_address_name,phone,category_group_name,category_name,place_url,naver_keyword,naver_map_url
0,0,1974266862,카페노티드 안국,서울 종로구 재동 86,서울 종로구 북촌로 6-3,0507-1337-9973,카페,음식점 > 카페 > 테마카페 > 디저트카페,http://place.map.kakao.com/1974266862,카페노티드 안국,https://m.place.naver.com/restaurant/1229793109
1,1,8574728,토즈모임센터 종로점,서울 종로구 종로2가 84-8,서울 종로구 종로 68,02-736-0061,카페,"서비스,산업 > 전문대행 > 공간대여 > 모임공간 > 토즈모임센터",http://place.map.kakao.com/8574728,토즈모임센터 종로점,https://m.place.naver.com/restaurant/37532328
2,2,853028118,어니언 안국점,서울 종로구 계동 146-1,서울 종로구 계동길 5,070-7543-2123,카페,음식점 > 카페,http://place.map.kakao.com/853028118,어니언 안국점,https://m.place.naver.com/restaurant/1240190178
3,3,353512935,블루보틀 삼청 카페,서울 종로구 소격동 86,서울 종로구 북촌로5길 76,1533-6906,카페,음식점 > 카페,http://place.map.kakao.com/353512935,블루보틀 삼청 카페,https://m.place.naver.com/restaurant/1942921803
4,4,1779571274,안녕인사동,서울 종로구 관훈동 155-2,서울 종로구 인사동길 49,02-6954-2910,카페,음식점 > 카페 > 테마카페,http://place.map.kakao.com/1779571274,안녕인사동,https://m.place.naver.com/restaurant/1410492841
5,5,1508329235,스태픽스,서울 종로구 필운동 32-1,서울 종로구 사직로9길 22,0507-1341-2055,카페,음식점 > 카페,http://place.map.kakao.com/1508329235,스태픽스,https://m.place.naver.com/restaurant/1142689405
6,6,1429224581,아키비스트,서울 종로구 효자동 164-7,서울 종로구 효자로13길 52,02-738-1517,카페,음식점 > 카페,http://place.map.kakao.com/1429224581,아키비스트,https://m.place.naver.com/restaurant/1783153281
7,7,7912367,산모퉁이,서울 종로구 부암동 97-5,서울 종로구 백석동길 153,02-391-4737,카페,음식점 > 카페,http://place.map.kakao.com/7912367,산모퉁이,https://m.place.naver.com/restaurant/12781756
8,8,27187492,포비 광화문점,서울 종로구 청진동 246,서울 종로구 종로3길 17,02-2251-8125,카페,음식점 > 카페,http://place.map.kakao.com/27187492,포비 광화문점,https://m.place.naver.com/restaurant/37197875
9,9,8082652,차마시는 뜰,서울 종로구 삼청동 35-169,서울 종로구 북촌로11나길 26,02-722-7006,카페,음식점 > 카페 > 전통찻집,http://place.map.kakao.com/8082652,차마시는 뜰,https://m.place.naver.com/restaurant/11719309
10,10,24725284,테라로사 광화문점,서울 종로구 중학동 19,서울 종로구 종로1길 50,,카페,음식점 > 카페 > 커피전문점,http://place.map.kakao.com/24725284,테라로사 광화문점,https://m.place.naver.com/restaurant/38231951
11,11,826692169,카페 레이어드 안국점,서울 종로구 재동 84-14,서울 종로구 북촌로2길 2-3,,카페,음식점 > 카페 > 테마카페 > 디저트카페,http://place.map.kakao.com/826692169,카페 레이어드 안국점,https://m.place.naver.com/restaurant/731605639
12,12,1154772851,프릳츠 원서점,서울 종로구 원서동 221-1,서울 종로구 율곡로 83,02-747-8101,카페,음식점 > 카페,http://place.map.kakao.com/1154772851,프릳츠 원서점,https://m.place.naver.com/restaurant/715782489
13,13,11016313,나무사이로,서울 종로구 내자동 196,서울 종로구 사직로8길 21,070-7590-0885,카페,음식점 > 카페 > 커피전문점,http://place.map.kakao.com/11016313,나무사이로,https://m.place.naver.com/restaurant/33431802
14,14,281666038,포비브라이트 광화문점,서울 종로구 신문로1가 115,서울 종로구 새문안로 76,02-6744-0120,카페,음식점 > 카페,http://place.map.kakao.com/281666038,포비브라이트 광화문점,https://m.place.naver.com/restaurant/1730708111
16,16,890843625,개뿔,서울 종로구 이화동 9-443,서울 종로구 낙산성곽서1길 26,02-765-2019,카페,음식점 > 카페 > 테마카페 > 갤러리카페,http://place.map.kakao.com/890843625,개뿔,https://m.place.naver.com/restaurant/92673530
17,17,967168196,H라운지,서울 종로구 통의동 35-21,서울 종로구 자하문로4길 21-9,02-722-0028,카페,음식점 > 카페,http://place.map.kakao.com/967168196,H라운지,https://m.place.naver.com/restaurant/1171532481
18,18,78911659,청수당,서울 종로구 익선동 144,서울 종로구 돈화문로11나길 31-9,0507-1318-8215,카페,음식점 > 카페,http://place.map.kakao.com/78911659,청수당,https://m.place.naver.com/restaurant/1262377225
19,19,27411968,토즈모임센터 광화문점,서울 종로구 신문로1가 25,서울 종로구 새문안로 89,02-735-0022,카페,"서비스,산업 > 전문대행 > 공간대여 > 모임공간 > 토즈모임센터",http://place.map.kakao.com/27411968,토즈모임센터 광화문점,https://m.place.naver.com/restaurant/37532328
20,20,20459372,부빙,서울 종로구 부암동 254-2,서울 종로구 창의문로 136,02-394-8288,카페,음식점 > 카페 > 테마카페 > 디저트카페,http://place.map.kakao.com/20459372,부빙,https://m.place.naver.com/restaurant/35272285
21,21,468528939,카페키이로,서울 종로구 명륜4가 154-2,서울 종로구 창경궁로26길 41-3,02-747-0848,카페,음식점 > 카페 > 커피전문점,http://place.map.kakao.com/468528939,카페키이로,https://m.place.naver.com/restaurant/939051630
22,22,320882660,도트블랭킷,서울 종로구 안국동 83,서울 종로구 윤보선길 22,0507-1431-2226,카페,음식점 > 카페,http://place.map.kakao.com/320882660,도트블랭킷,https://m.place.naver.com/restaurant/1031190341
23,23,7941905,서울서 둘째로잘하는집,서울 종로구 삼청동 28-21,서울 종로구 삼청로 122-1,02-734-5302,카페,음식점 > 카페 > 전통찻집,http://place.map.kakao.com/7941905,서울서 둘째로잘하는집,https://m.place.naver.com/restaurant/11569682
24,24,2084457534,카페 하이웨스트 익선점,서울 종로구 돈의동 13,서울 종로구 돈화문로11다길 18,,카페,음식점 > 카페,http://place.map.kakao.com/2084457534,카페 하이웨스트 익선점,https://m.place.naver.com/restaurant/1827620160
25,25,1882706147,대충유원지 인왕산,서울 종로구 누하동 22,서울 종로구 필운대로 46,,카페,음식점 > 카페,http://place.map.kakao.com/1882706147,대충유원지 인왕산,https://m.place.naver.com/restaurant/1077382386
26,26,17382138,라카페갤러리,서울 종로구 통의동 10,서울 종로구 자하문로10길 28,02-379-1975,카페,음식점 > 카페 > 테마카페 > 갤러리카페,http://place.map.kakao.com/17382138,라카페갤러리,https://m.place.naver.com/restaurant/21413519
27,27,27278291,슬로우파크,서울 종로구 삼청동 15-2,서울 종로구 삼청로 141,02-739-8797,카페,음식점 > 카페,http://place.map.kakao.com/27278291,슬로우파크,https://m.place.naver.com/restaurant/33875115
28,28,594338477,가배도 삼청점,서울 종로구 소격동 142-2,서울 종로구 북촌로5길 56-8,02-732-4542,카페,음식점 > 카페 > 다방,http://place.map.kakao.com/594338477,가배도 삼청점,https://m.place.naver.com/restaurant/1151193613
29,29,10405822,반쥴,서울 종로구 관철동 12-16,서울 종로구 삼일대로17길 23,02-735-5437,카페,음식점 > 카페 > 커피전문점,http://place.map.kakao.com/10405822,반쥴,https://m.place.naver.com/restaurant/31197772
30,30,8045991,카페이마,서울 종로구 세종로 139-8,서울 종로구 세종대로 152,02-2020-2088,카페,음식점 > 카페,http://place.map.kakao.com/8045991,카페이마,https://m.place.naver.com/restaurant/11678597
31,31,212413668,내자상회,서울 종로구 내자동 142,서울 종로구 사직로10길 3,070-7755-0142,카페,음식점 > 카페,http://place.map.kakao.com/212413668,내자상회,https://m.place.naver.com/restaurant/1617315736
